tỉnh An Giang,89
tỉnh Bà Rịa - Vũng Tàu,77
tỉnh Bắc Giang,24
tỉnh Bắc Kạn,6
tỉnh Bạc Liêu,95
tỉnh Bắc Ninh,27
tỉnh Bến Tre,83
tỉnh Bình Định,52
tỉnh Bình Dương,74
tỉnh Bình Phước,70
tỉnh Bình Thuận,60
tỉnh Cà Mau,96
thành phố Cần Thơ,92
tỉnh Cao Bằng,4
thành phố Đà Nẵng,48
tỉnh Đắk Lắk,66
tỉnh Đắk Nông,67
tỉnh Điện Biên,11
tỉnh Đồng Nai,75
tỉnh Đồng Tháp,87
tỉnh Gia Lai,64
tỉnh Hà Giang,2
tỉnh Hà Nam,35
thành phố Hà Nội,1
tỉnh Hà Tĩnh,42
tỉnh Hải Dương,30
thành phố Hải Phòng,31
tỉnh Hậu Giang,93
thành phố Hồ Chí Minh,79
tỉnh Hòa Bình,17
tỉnh Hưng Yên,33
tỉnh Khánh Hòa,56
tỉnh Kiên Giang,91
tỉnh Kon Tum,62
tỉnh Lai Châu,12
tỉnh Lâm Đồng,68
tỉnh Lạng Sơn,20
tỉnh Lào Cai,10
tỉnh Long An,80
tỉnh Nam Định,36
tỉnh Nghệ An,40
tỉnh Ninh Bình,37
tỉnh Ninh Thuận,58
tỉnh Phú Thọ,25
tỉnh Phú Yên,54
tỉnh Quảng Bình,44
tỉnh Quảng Nam,49
tỉnh Quảng Ngãi,51
tỉnh Quảng Ninh,22
tỉnh Quảng Trị,45
tỉnh Sóc Trăng,94
tỉnh Sơn La,14
tỉnh Tây Ninh,72
tỉnh Thái Bình,34
tỉnh Thái Nguyên,19
tỉnh Thanh Hóa,38
tỉnh Thừa Thiên - Huế,46
tỉnh Tiền Giang,82
tỉnh Trà Vinh,84
tỉnh Tuyên Quang,8
tỉnh Vĩnh Long,85
tỉnh Vĩnh Phúc,26
tỉnh Yên Bái,15
